"name","handedness","height","weight","avg","HR","avg_scaled","HR_scaled","distance","distance_pctrank"
"Bill Freehan","R",75,203,0.262,200,79.8780487804878,35.5239786856128,38.199682981907,68.342391304348
"Steve Nicosia","R",70,185,0.248,11,75.609756097561,1.9538188277087,22.4742565184226,40.3532608695651
"Ted Savage","R",73,185,0.233,34,71.0365853658537,6.03907637655417,17.2567138808673,21.4673913043479
"Pete Mackanin","R",74,190,0.226,30,68.9024390243902,5.32859680284192,15.2202497688117,16.304347826087
"Rich Dauer","R",72,180,0.257,43,78.3536585365854,7.63765541740675,24.506176571507,47.6902173913041
"Mick Kelleher","R",69,176,0.213,0,64.9390243902439,0,13.4264359391863,10.054347826087
"Rowland Office","L",72,170,0.259,32,78.9634146341463,5.68383658969805,17.1568183539975,38.095238095238
"Rick Leach","L",73,180,0.268,18,81.7073170731707,3.19715808170515,20.5076709815383,54.9206349206348
"Dwayne Murphy","L",73,185,0.246,166,75,29.4849023090586,23.2528653012241,63.174603174603
"Larry Harlow","L",74,185,0.248,12,75.609756097561,2.13143872113677,15.4037536760866,30.4761904761904
"Mike Epstein","L",75,230,0.244,130,74.390243902439,23.0905861456483,17.8045183834943,42.2222222222221
"Jerry Mumphrey","B",74,185,0.289,70,88.109756097561,12.4333925399645,26.4635675093484,76.6990291262136
"Don Sutton","R",73,185,0.144,0,43.9024390243902,0,12.4962040736861,7.60869565217391
"Glenn Beckert","R",73,190,0.283,22,86.280487804878,3.90763765541741,32.6386132739238,63.7228260869566
"Ron Davis","R",72,175,0.233,10,71.0365853658537,1.77619893428064,18.1380039685124,24.5923913043479
"Mike Shannon","R",75,195,0.255,68,77.7439024390244,12.0781527531083,24.318523796388,47.2826086956519
"Jason Thompson","L",76,200,0.261,208,79.5731707317073,36.9449378330373,32.0010467300782,73.6507936507934
"Wayne Tolleson","B",69,160,0.241,9,73.4756097560976,1.59857904085258,11.7064841889626,28.1553398058252
"John Leister","R",74,200,0,0,0,0,54.3765727865091,72.2826086956525
"Don Cooper","R",73,185,0,0,0,0,54.3765727865091,72.2826086956525
"Mike Jorgensen","L",72,195,0.243,95,74.0853658536585,16.8738898756661,13.6127123516725,21.5873015873016
"Ed Romero","R",71,160,0.247,8,75.3048780487805,1.42095914742451,22.319964815901,39.5380434782608
"Rick Joseph","R",73,192,0.243,13,74.0853658536585,2.30905861456483,20.9094839866861,34.9184782608695
"Cecil Cooper","L",74,165,0.298,241,90.8536585365854,42.8063943161634,43.4787384032966,78.4126984126982
"Bill Almon","R",75,180,0.254,36,77.4390243902439,6.3943161634103,23.6205326748973,44.4293478260868
"Joe Ferguson","R",74,200,0.24,122,73.1707317073171,21.6696269982238,23.9225267353742,46.4673913043476
"Jeff Jones","R",75,210,0,0,0,0,54.3765727865091,72.2826086956525
"Jerry Terrell","R",71,165,0.253,4,77.1341463414634,0.710479573712256,24.274810525776,47.1467391304346
"John Poloni","L",77,210,0,0,0,0,63.143985979505,79.9999999999998
"Dave Revering","L",76,210,0.265,62,80.7926829268293,11.01243339254,18.4705256634856,45.079365079365
"Curt Ford","L",70,150,0.245,7,74.6951219512195,1.24333925399645,15.1187386272031,28.5714285714285
"Jerry Dybzinski","R",74,180,0.234,3,71.3414634146341,0.532859680284192,18.8548480147661,27.1739130434783
"Mike Willis","L",74,205,0,0,0,0,63.143985979505,79.9999999999998
"Bob Burda","L",71,174,0.224,13,68.2926829268293,2.30905861456483,9.69724839931341,9.20634920634921
"Jesse Gonder","L",70,180,0.251,26,76.5243902439024,4.61811722912966,15.1508833155017,29.2063492063492
